customer_id,user_name,ratings,review_head,review_body
review-5b837a90-5cc0-45d2-8473-fecc78141570,Zeeshan Gulzar,5,Fabulous!,nice purchase
review-bef2aa2b-6f5d-4bb0-aba5-ad93ea4e9ad8,Nizar Ahamed,5,Worth every penny,awesome product full strong metal body superb look file transfer fast worth buy iam happy
review-f346e684-f09b-43a7-a472-664ff9927f5b,Mari Mauthu S,5,Fabulous!,nice50 mb feed
review-1d06e9b3-4479-4931-a333-49a6bbad2686,Vaibhav Gupta,4,Nice product,good look good transfer rate bit thick
review-8e98ed56-0202-4aab-9636-23d57dc02dbd,Flipkart Customer,1,Don't waste your money,worst hard disc ever bought please go hard disc professional use please go sea gate
review-acd5ff8a-382b-4286-b76c-e99dd7b9bce4,Jaiganesh Ravindran,5,Perfect product!,real offer big billion dayhp always good
review-96dcdbfd-45fd-462e-bb4f-dced8c4de3b4,Piyush Pachori,4,Good choice,cool product pricego itshowing 930 gb free space
review-c7e2ebff-6d27-450c-95f6-b3eba5ad718c,Samar Basumatary,4,Value-for-money,awesome
review-9a4d9c74-b680-4572-9806-86218a613041,Senthil Kumar,4,"Small, Compact & Wight less hard drive !!",portable quality one absolutely classy design makes drive looks perfect everyone also comes usb 30 version cable fast data transmission product delivery simply awesome flipkart perfectly packed delivered within two days order placed happy buying hard drive
review-c58b59f5-9d16-4fcd-b2ae-2a1366e4dd98,Atul Varghese,4,Nice product from hp,nice product hp nice finishing thanks flipkart con think varying speed sometimes get speed 30mbsec sometimes got 60mbsec
review-7b3ae2aa-6d2e-43d3-b70f-977f927c7416,Bala Murugan,1,Utterly Disappointed,using 2nd time getting format automatically
review-5111d29c-dd72-45c5-9f4a-df0464032b7c,DINESH SHUKLA,5,60Mbps on usb 3.0,nice build quality unique im getting speed 60mbps copying 120mbps usb 30 rest fine
review-8e752813-058b-485c-92ac-af52dc5420d8,Preetha K,5,The best !!!,really good design fast transfer speeds 122mbps usb 30 60mbps usb 20go
review-9e894b53-60d9-40c6-bfba-40836bc47ccb,Kaushik M&#39;lore,5,Must buy!,one good better go sony copying speed slow compared sony backup software harddisk good
review-1840a6ec-b07b-4c4f-9f5f-2e6c95d69a37,PT,4,Delightful,using since last 6 months complaints
review-66ad8141-563c-49e8-922e-56780ae97829,Flipkart Customer,5,Quality item,good product
review-71ede218-1e6c-4a7b-947b-1cba75f1c233,Shaikh Nadeem,5,Best in the market!,fast sound premium quality
review-933dd557-e84d-44f4-896b-d15b2db6ab00,Vinay Sajjanapu,5,Working really fine,compact size good speedwrite speed large files 6080 mbs connected usb 30 port 2535 mbs usb 20 portwrite speed many small files 45 mbs connected 30 port 20 mbs 20 port
review-5d35dc32-2628-4ebb-b7f5-7b384d4893ae,Hareesh Payam,4,Good choice,really im surprised hp laptop windows 10 os data transfer speed almost 7590mbs flipkart inside box packing nice im satisfied product thanks flipkart
review-c449cc93-74a6-4ed1-a49d-b67205cb4ff5,VIJETH DS,5,Mind-blowing purchase,best ever got
review-fcfa4a82-b3a0-4596-ab0c-5d202420bf25,krishna sharma,1,Not Readable,using win 7 pc able read device tested friends pc also using win10 win 81 working either
review-ee3d6e82-5052-41c8-90e4-b6f13d59e6e3,Nirmal Tomy,1,NOT SEEM TO BE ORIGINAL,product didnt seem original china made product could classed 2nd quality intrested anymore deal flipkart electronic deals
review-ece419bf-fb24-4134-96d5-0532a9133f2c,Randhir Raja,5,Worth to buy...,got happy product expected one thing noticed space showing 936gb 1024gb
review-8be547e0-1ea2-4470-889c-b57d2c1ccd79,SANJAY KUMAR,1,Worst experience ever!,purchased hard drive using hp hard drive problem 1tb external hard drive makes lot noise stuck lost many files newer purchase
review-97e113e9-5af0-4cc8-b01f-7e6aa9a4c422,Kushagra Gupta,1,an awsome product,honest reviewcant connects windows 81very slow transfer speedvery slow projection mediai preferred ltdont thistotal waste monyworst product hp
review-31a56269-7da5-44f7-922a-461d2232b066,Sankalpa Chatterjee,1,Did not meet expectations,brought model june2019 stopped working aug called flipkart provided hp support turns mentioned team support pendrive external harddrive hp tech support option external hard drive users
review-b64916e4-6412-4d41-925a-8b04b1ac9412,Muthu Mathew A,5,Brilliant,stylish
review-931995d1-989d-40a3-bdf8-7cc32b64cb4f,Sayanta Giri,5,Must buy!,good qualitylooks stylish
review-0c4ea5de-f647-4b28-8bd7-e320596e22ff,Shraddha Bang,5,Great product,awesome productgot delivered timewith usb 3 copy paste speed go upto 95mbsworks smoothly
review-cff6857d-f0ea-4a88-a1a0-3d9efa035932,Flipkart Customer,3,Copying speed is not that great....!!!,product looks good usable space 931 gb seems metallic body silver colour projects rich feel iti neither technical guy frequent user hard disks buy hard disk using friends dell pad1000b hard diskbasis want give comparison terms copying speedi copied 30gb data hard drives dell took 25 minutes get copied whereas hp took 6 mins get copied little disappointedread
review-dbd6242b-7e2a-4696-8127-b81cbbda7e4f,Suhotra chatterjee,4,A bit large in size,good product bit large size mentioned usb 30 speed like 20
review-4e3861bb-050a-45ce-a70d-f98ed2266138,Ikram Qureshi,3,Good,product awesome delivry delayed
review-e7f1257b-9f9e-4e3c-b03d-73910e06c5fc,Jeyakrishnan P,5,Must buy!,good
review-ba66ff36-3bf0-417e-b3db-c015ce8f7982,Flipkart Customer,5,Super,handylook good
review-0ade7db7-da09-4a0b-a72a-cc8ece7f3909,Dinesh Ambre,5,Good Product,checked hp shopping sites verify whether product original duplicateonly 1 problem speed 18mbps connect 20 mins start hit
review-f55c59d3-4b19-4260-ae0b-20930db777cf,N K Verma,5,Looking good,nice design
review-1393a4a8-929e-4199-aeca-d86f03d63858,P N Misra,5,Excellent,hp hard disc perfect use capacity shows 932 gb instead 1tb always great experience buying product flipkartp n misra
review-14e6c3a4-25f9-43aa-a54f-880b098a95ce,Flipkart Customer,5,Great Product,hard disk price amazing expected get file transfer speeds upper side 50mbps though oscillates around 3540mbps range metal cover fine finishing sides delight eyeflipkart delivered product within 3 days within compact package
review-196cced7-2296-4556-a9d3-022cea14f5ee,Pritam Tung,5,Excellent,amazing purchased light weight stylish looking metal finishing im really impressed
review-2c15b2d8-aff4-4345-8555-b2987ba68ac8,Payal Moghe,5,Worth every penny,nice product nice service flipkart keep
review-ef585429-0ba4-4537-a7ca-995fc67feced,Suvodip Panja,1,Terrible product,crashed within 7 months purchase couldnt recognized pc would leave pc frozen connected go external hard drives wd seagate instead would save lot hassle lost 700 gbs data nuisance
review-1cdcd09d-908f-48ac-9476-42809d157c45,Bipul Mondal,5,Great product,nice performance
review-610942d1-796d-4a9e-90ca-59744df34bec,Bikee Saeed,5,Mind-blowing purchase,hard drive awesome really loved itvalue money speed greatthank flipkart delivering hard drive 3 days
review-ba0a2d5d-041a-4998-8409-c642013b7486,sriganesh,5,Awesome hdd.,review 2 year use buy one best hdd available thereno issues till totally satisfiedreadwrite speed good price pointi played fc4 without lag gooddesignu get premium feel polished aluminium casego
review-223ecc52-05bd-424b-8c06-6d57f9ddb02c,JAYASHREE K,4,Just okay,nice password security addedin opinion
review-b0179574-e237-4e78-a968-29007c08118b,Ganesh Maratha,4,Very Good,able operate smartphoneawesome builtspeed also good
review-4e125b16-96f7-49ce-8d6f-623c7e5e41ad,Prayag Jyoti Baruah,5,Simply awesome,review monthfirst issues receiving product packaging good enough damages faults found productsecondly product great great transfer speed 8090 mbps plus use type c port similarly 20 ports reduces around 3040 mbps otherwise bang buck go
review-ef2a5902-0481-448e-9eb3-3162fcfffe46,Robinsh kumar,5,Highly recommended,nice product range
review-7cc89a1f-bc74-4907-a86a-02c6822b6819,Usama quraishi,5,Perfect product!,bought product 2 years ago flipkart working well since never encountered issue itit looks stylish eye catchy thick considered gets little hot summeroverall satisfying product given priceworth buy
review-389ded5f-ed1b-48cd-a6eb-0a75d00ea88d,Ramay Raj Singh,5,"In all, one of the best external hard disk one could find",hard disk probably best one could find market high read write speeds especially connected usb 30 outer shell made metal increases durability also gives premium look feel moreover comes two years warranty adds value product one best external hard disk one could find
review-f684c5ef-9c0d-492a-9036-cae62d80fc33,Subhajit Sil,5,Excellent,brand hp says allthe product us equally awesomeit give 930gb storagei using mac windows perfectly goodthe product doesnt heat even intensive usethe write speed 30mbps 129mbpsthe speed depends computer ram type file size fileits usb 30 capablethe product finish premiumthe product comes hp file recovery softwareoverall product
review-4ce9fb1f-e30b-4143-9278-bc1c20e5e2fa,HEMANT PARASHAR,4,Very Good,nice product data transfer speed slow
review-c4837381-602f-4c79-86ac-6b48270f1d5e,Jagannath Mondal,4,Delightful,nice one
review-d57162af-b897-4e47-9210-4beeee102225,Flipkart Customer,4,Good choice,nice product
review-e3574268-35ab-45b8-a361-0ca921331295,Sunita Rawat,1,Very poor,shamfull three days im getting solution
review-c4fe6a0e-0330-4ca3-bc17-8e90ba8f8bc6,Gaurav Tripathi,5,Fabulous!,good yrr
review-1d47b837-ccbc-4966-93bf-858529c8f023,MRITUNJAY SINGH,4,Good choice,good working service centre nearly available
review-e69198b3-1db4-4cc5-a27e-5577525c5e21,Flipkart Customer,5,Terrific,nice one
review-2ab7bc3d-9d1f-4d4f-93d3-2d111e70bbcc,Bhaskar Pandey,5,Classy product,got 14 july 18 16 jan 19 good 6 months let tell ive faced single problem works like charm read write speed good also got premium feel must go looking external storagei got rs 3599 bang buck
review-fa21f04f-3cba-4324-8b37-ca5c5b0d3708,Flipkart Customer,4,Good quality product,thanks flipcart lightning speed delivery less 24 hours happy still used product update product review days
review-4c2ac0d7-21cb-413e-a117-cbb2ff96408f,Flipkart Customer,5,Fabulous!,nice
review-37c1c14e-e028-4e72-af8f-596c5858684d,Tanmoy Rabha,5,Simply awesome,nice speed like
review-ef66c0fb-6c6e-49e2-8db8-d1ada5157a2c,anuj Singh,4,Worth the money,nice product using last two years problem found
review-43a9ffdc-bfc2-426e-9951-ff91e9d2d92b,Moiz Qureshi,5,Perfect product!,best product price
review-7935ba20-58a0-41fc-bda7-12ea5b0700ed,Flipkart Customer,4,Really Nice,awesome product per specifications mentionedi spent nearly 1yr hdd till issues
review-2e536a98-8c4e-4786-992c-ebe8ffaa53f7,Suhail Maqbool,5,Terrific,osm product looking great
review-c6688cf2-c50c-484c-ab69-3a9bd474046c,Abhishek MB,3,Does the job,claimed drive 30 specified specified speed individual files stuffs decreases 20 mbs written bulk price enlisted product satisfaction store things lastly request replacement option one desires return get exchanged
review-ff919a72-8b63-4361-8dc3-382ec4490f32,Himanshu Veer Singh,3,Nice,device looks fantastic working swiftly 70 mbps solid built premium design recommended especially bros hp laptops comes hpsimplesave software backs pc data simultaneously
review-2dbce6f6-7476-4f00-b911-a7e342afe7af,Asish Mahapatra,4,Value-for-money,beautiful metallic design little bit wider expectedgives premium look hand love built design software wise good gives 931 gb storage primary level along handy user friendly software ease experience delivery relatively fast damage proof
review-cda8d6ef-ab10-484e-b589-27694fa832da,Flipkart Customer,5,Worth every penny,exlent
review-ff7bf859-03cc-46b8-af60-9abf0b7bd575,Flipkart Customer,5,Brilliant,hp 1tb hdd really goood wll give 108 stars product thanks hp flipkarteveryone plz product
review-f9fe25fc-bf25-4f5a-b7f0-b8b271554c52,Ashish 600,5,Excellent,far good
review-6f16bc4e-e9b9-492d-8c69-c6f4cc4e9349,Subhasish Bhandary,5,Brilliant,good product rs 3599
review-b85fab40-2250-42af-a3ca-2d5a81144c78,SAMIM ALAM,1,Don't waste your money,stopped working within 2 months
review-40075c0b-a51e-411e-9887-80ea95354ffa,mehul meda,5,Perfect product!,2 month used perfec working
review-4234e996-01e4-4737-b8d8-9799a8361adf,Indrajeet Singh Yadav,5,Excellent,amazing product delivery time superb
review-9108ef07-2cfe-4178-83bd-aa32a9a7ee40,B S Rastogi,1,Don't waste your money,cheap look thin pvc cover
review-5ec7344a-b38a-43de-8b70-2236986f2d3a,dinesh,1,Worst experience ever!,usb connector broken hard disk
review-3e59756a-8b71-4449-a468-280b9f8ed9c3,RATIKANTA MAHARANA,1,Very poor,good
review-fb7b868e-ac6c-4b71-b05c-5ba81934f72b,Suman Biswas,1,Don't waste your money,bad product
review-5a89a68b-dbe7-4768-9fa8-fe6db7cd82b0,Sourav Chatterjee,5,Fabulous!,dont expect super high speed transfer product good
review-b8d22651-d243-44ae-8a8e-d639c4819a8e,Chinmoy Thakuli,4,"Nice Compact Aluminium Polished, HP proves again.",overall 415 rating compact nice looking hard drive930 gb available space onlydesign 55polished aluminium casingperformance 452550 mbps 20 usb port3095 mbs 30 usb porttemperature 45normally warms use thats fine usually metallic casing gives cool feeling hdd idlehp simplesave 355software outdated provides basic data transfer backupssecurity 255not much secure terms data protectionshockpread
review-5eba63b0-960d-49bf-bb54-dc346730b57a,Flipkart Customer,2,Expected a better product,guys keep one thing mind buying external hdd buy brand storage devices like wdseagatesandisketc bought shiiit stopped working almost 1 year due metal body also received minor shocksminor dont go gamer movie man go
review-a0d3fb35-529c-4aa2-a7cd-27d52efb77f7,Flipkart Customer,5,Perfect product!,great product hpjust love
review-71c83e8e-bea7-415b-bb91-8f76744395f5,Flipkart Customer,5,Brilliant,compact worth cost
review-689b5ea0-3979-4a74-be2d-5bab7695fe3a,UJJAL BARDHAN,5,Mind-blowing purchase,awsome product happy hdd 30 port gives 80110mbs speed 20 port gives 2040mbs speed quality awsome brand hp
review-ef429e20-6310-4680-a0fe-4f5afcd171f7,Hunlangpoul Kharkongor,5,Terrific purchase,heating issue 1 hour firm easy carry good price fast delivery upload 25 mb download 13 mb
review-a49be5c4-a313-4bc1-a166-144050cb0daf,A. Velmurugan Vel,5,Awesome,nice im ever seen itsierapuu miga sierappuuu
review-a94ad29d-d7b3-4f9e-b15c-699b5e422269,Flipkart Customer,5,Terrific purchase,working good far
review-98671637-81b9-4546-9d59-541b6af35dfe,abdul kadhar,5,Mind-blowing purchase,wow
review-7495d409-8a57-4a1c-8920-7664f29aa4b2,Jamil Ahmed,3,Not bad,speed arround 20 25 usb 20 30 35 usb 30 using core 2 duo system dont know causing system run slow
review-a3dc0273-c45f-45d4-9a4d-59103445c150,Balaraju M.P,1,Super!,satisfactory
review-f0c0e98d-671c-48ae-bc96-8c7a173b6b82,Shubham Rai,5,Best in the market!,best looking hard disk pricepros1 best design2 light weight3 hp auto backup software4 support android install es file explorercons1 low speed 3536mbps2 heat 1 hr transferoverall best price
review-9c77e650-55f0-4293-ad08-d4b30a2187aa,Rajnish Bihari.,5,Just wow!,awesome
review-4a247dcc-f540-49d5-8421-dd98220a846e,rocky handsom,5,Worth every penny,amazing product value money
review-7906796d-7ba0-4014-afeb-b231714cfe26,Rahul Singh,4,Four Stars,attractive fast compact smooth silent
review-679a6ce7-c47a-41a5-834b-204f1052779c,Sorthiya Rashmin,3,Affordable at good price,data transfer rate high
review-cec0a115-bce4-4fd9-8f5c-7c054f0c1894,Kuldeep Kumar,5,Thanks Flipkart,excellent product excellent delivery
review-4416c770-6546-43b4-902c-3e7532545f0c,Manisha Sengupta,4,Really Nice,good
review-56398649-cddf-4346-b6ed-3d6b2eac83cb,Flipkart Customer,5,Classy product,good product
review-8b1742f6-d24d-49ed-86b3-6793b745f2eb,Durgesh Yadav,4,Pretty good,nice one
review-631d4596-3929-4126-8a98-278cc4849074,Yogesh Kumar,5,Brilliant,good easy carry
review-78908217-8ef6-4e26-a48e-3f75890ca96a,Vishnu Mandole,4,Wonderful,awesome
review-bc174895-c2a2-4707-ab0c-f00241fa3940,Kusumba Chiranjeevi,5,good product,good speed file transfer pc product finally say good buy
review-57378c93-961a-48e1-93f8-7ffec3b93252,Gireesh K V,1,Unsatisfactory,got damaged 2 monthswarranty big problem
review-16ec745b-165b-4c7e-8517-8c9aae29cebf,Hetvi Shah,4,Delightful,good quality
review-afc8f39a-279a-462f-9a99-8985d2869a1c,neeraj kumar,2,Bad quality,noisy
review-2d7ac243-e798-4d02-ab77-7a762ad341e7,Ashutosh G,3,Fair,nice one continuesly cracking sound hdd
review-70c122ff-4728-4e55-b616-1c78ca4a2dcb,vinod khandelwal,5,Nice,used product face issue hard disk
review-158c1e64-5717-464a-a673-ac52ccb14b3c,Flipkart Customer,3,Fair,working
review-8f8ece3c-0446-418f-a682-6a4255cf67d7,Manoranjan Jana,5,Must buy!,good product price range colour also good put usb port ready use like pen drive thaka flipkart personnel delivered product within stipulated time
review-1bb597aa-cffc-4985-a5f0-ba909a0dfa34,Flipkart Customer,4,Wonderful,gud 925gb capacity storage
review-a44c7c26-b0a6-46dc-8524-8eda99be2c80,Allwyn Issac,5,Great product,good productrecommend
review-13b5280f-f92e-480e-a998-a718028f64f9,Flipkart Customer,5,Brilliant,good one
review-8e379286-9a4a-4213-9131-fc853476fb3c,devashish kumar,5,Great product,using device since last 6 monthsflawless till
review-0200ca63-da59-4a84-892c-494adbb5ea76,CHANDHINI BEGUM IQBAL,5,Great product,really amazing great look performing well slightly low speed ok thanks flipkart giving best product cheap price
review-3012290d-6cf0-4986-94b9-45292939c761,Flipkart Customer,5,Wonderful,bought 3699 big billions deallast yrsuperb till issue
review-4686235f-8193-4217-a49c-965d598184f2,Flipkart Customer,5,Awesome,good lookingnd work fast
review-f7729282-4a86-43e1-be39-1df9434266cf,Arshad Perwaiz,5,Just wow!,nice original product unbelievably fast delivery
review-dd272c1c-a5e1-427f-9fef-1cd2a63a5c10,Ayush kumar Verma,5,Mind-blowing purchase,dont think go
review-745661f3-aeff-4ee2-be7e-96e6470bf6d1,Pushkar Deo,5,Perfect product!,nice product
review-c77b2df2-9959-45bc-b042-1ea25e513aca,Flipkart Customer,5,Excellent,good product
review-a060930f-2dd2-4f75-b660-fe7c2d81d3ba,yogesh vishvakarma,2,Slightly disappointed,got stuck one month
review-da8476be-6e15-47d8-9bc6-686f13738014,James Dsouza,5,"Fabulous, Quite good, so far",hp usually makes good hardware time also looks good far working well days old needed take backup selling laptop wanted secondary backup device original stuff
review-3489b925-4eca-4911-9b36-50402e6d3ae0,Rishiraj Kansara,5,Terrific purchase,loved perfect
review-9c5b7521-4cba-4eb0-9f35-257847326f77,Habeebur Rahman,4,Pretty good,good
review-c6755d62-9b99-4bf0-9583-a8aea051b7bc,Biswajoy Saha,5,Best in the market!,working good value money
review-2383b354-a3b3-422c-96da-b6b40aeede03,SAIRAMESH MODUR KONDIAH,5,Classy product,excellent
review-00ead180-d9f1-4593-b24c-0e5ff9d0fcb9,ARNAB DUTTA,5,Mind-blowing purchase,product perfect aspects good writting well reading speed good buil quality light weight good
review-b6f67c14-ff0e-4c16-8bc0-b9a8611fa741,Bitra Anvesh Kumar,5,Brilliant,product good
review-a7af95a4-16a7-4e27-922d-92a28842474c,Jason Solomon,5,Simply awesome,got good quality product flipkart
review-f4faeb26-4453-4445-a1c7-740561227ac1,Pavan kumar,4,Value-for-money,product v good
review-b90aa43c-187c-402a-89ea-c650afdca824,David Melchi Meshach,5,Highly recommended,good
review-5bc18682-7fef-4ae0-aa73-4e1b31eafb70,Kunj Bihari Harsh,5,Best in the market!,nice one love
review-713b7b55-9ada-49f0-af02-53724de772ce,ASIT KUMAR,5,Wonderful,fine
review-18e7f72d-49c2-4812-80dd-fc489285feca,ayman khan,4,Good choice,found described totally realiable
review-9f9b3257-8768-4468-9438-97319f89a1f4,Sunil Reddy Chavali,5,Must buy!,good
review-516b9a63-597d-4606-b81a-c4799f5bc9cb,Ayush Jain,4,working gud,excellent productlittle bit hot managed
review-4bce66b6-1b98-476f-8db1-a1a8ba85115e,Shiwang Chawla,4,Excellent,good quality
review-91505f37-3617-4544-8bb9-2b25915e0cea,Flipkart Customer,1,Horrible,one worst hard drives iv ever used horribly shocked transfer speedwd worked twice faster hp product looks good though returned within 1hourflipkart service outstanding honest
review-d2b5e417-03ac-4704-bad3-a6030b8f34fe,Carl Edison C,3,Good,good product ordered got within couple days 1 tb 1024 gb available space gadget 931 gbrest fineworth buy
review-68c475ec-ec8e-4c2a-8484-5fa3817c6893,Shebin Ma,1,Too bad packing and the product may have physical damage,hard disk directly kept inside big box without shock absorbing bubble wrap sure status product bad flipkart normally even small item send wrapping correctly doubt originality product
review-4a128340-6763-4bd8-8a6c-228eddcd9e62,NarasimhaRao K,1,Terrible product,tv connected
review-6f844e34-e5b6-47ae-858e-9f15c927b492,Swadhin Kumar Murmu,5,Great product,excellent happy bigbillion day offer bought 3350
review-8ffdc80c-deeb-4ec0-9659-6892be99eafb,Akshay Sharma,5,Mind-blowing purchase,purchased product 3699 flipkart big billion sale product awesome metallic look though metal impressive transfer speeds 6065 mbps 30 usb port usable space 931 gbreceived product 4th day packing intact shipment satisfactory
review-9349a478-1652-4309-aee6-b72a8041e4e9,Dipak Srivastava,3,Not detected on LED TV,good looking sturdy piece detected led tv whereas hard disks detected hope theres solution
review-a4b90f9d-76d2-4c39-ab64-1a1278ce9ea9,Debojit Pal,4,Good looks but okay performance,best feature ehdd looks looks cool like book metallic cover speed usb 20 low 20 mbps gets really hot 50gb transfers usb cable provided product one foot length hence accessiblehowever since hp product quality top notch would rate 355
review-1ecc6279-1ba4-401a-b2f9-bc9907e4c567,Surajit Dey,5,Terrific purchase,good product transper speed amazing tnx hp also flipkart
review-66f7275b-904f-495d-959b-f99560c372f3,RENJITH CHANDRAN NAIR,4,Good quality product,heavy performance tranfer speed good handy thes design also mindblowing
review-1d1c239b-299e-4209-bef3-f1661f632f77,basant dadhich,5,Must buy!,expected deliveryand nice product
review-e6bc2c34-1fde-4644-8973-e58dacd72885,Jatinder Dahuja,4,Value-for-money,quality product
review-45ce02d5-e346-48a0-a8a0-8d0e366cec18,Flipkart Customer,4,Terrific,one good external hdd price kudos flipkart brisk delivery overall nice product connecting wire bit small copying speed bit slower compared hdd hp comes brand name product lives upto expectations
review-f05e8d4b-924f-49d0-ab1f-fc96ba72dac0,Sree Harsha,4,Value-for-money,even usb 30 speed isnt great design looks cool doesnt make much noise spinning
review-37344591-e764-4ef1-b67c-dcbdd69c00b5,Flipkart Customer,4,No waste of money...,good working 400 gb copies 115 hrs
review-072bb6ca-27be-40ef-905a-f7090f8a5a25,Flipkart Customer,1,Waste of money!,bakwas product seen ever sold jan 2016 warranty already expired checked online disgusting website dont buy electronics products site
review-f12f2067-0448-4f68-86f4-6cf054d2a479,Anvar V A,4,No probs so far ( 3 months),probs far 3 months
review-3128d2a4-10ab-4424-83f6-54acedd42eea,Shubhankar Paul,5,Worth every penny,excellent
review-d54fcee3-908c-4461-ae85-e844486d4ca6,Binit Kumar,4,Really Nice,greatproduct low price
review-bd060696-88ad-4d38-a409-9db47744c6b5,Ankita N,5,Worth it...,got delivered 1st april working brilliantly speed amazing
review-61e72887-322b-46b9-8220-c1fd8e1a5b56,Hirok,4,Very Good,great looking hdd absolutely love got rs 3699 flipkarts big billion day sale hdd aluminium finish looks tough performance gives average 80 mbps laptop great considering external hdd used roughly gives 3040 mbps would definitely recommend buy
review-35831fcc-d069-4e58-985e-bd7837713a80,rajvinder singh,3,Biggest mistake of my life!,hp simple save doesnt work windows 10 make sure ur pc doesnt windows 10 buying
review-3e241b1c-fa93-40d3-b72a-c5a5ba8f1e35,B.c. Naik,1,Absolute rubbish!,send hp customer care number product working please customer contact number send
review-5036d414-a81a-41da-8bde-84337b4ff729,DURAIVELU KRISHNAN,1,Very poor,detectable compac windows 8 system even second replacement also issue better buy hdd
review-a2c0d754-f748-440e-b386-f39765c428a0,Anshuman Mishra,5,Hard drive has great features,hard drive works smooth use storage needs use maintain backup computers
review-eb1a0fbb-e713-4a58-bba6-2ebf54b3fc0e,Sourav Bansal,1,wastage of money....,product compatible windows working apple products
review-87504f45-80ae-40e6-8efb-5e52408641bd,Dhiraj Sharma,5,Simply awesome,best hard disk 1720mbps data transfer
review-b6e4cd42-12cb-4132-b005-5b9fe434c22e,Dhruv Gupta,2,Ok,looks good transfer speed slow also 931 gb available user instead claimed 1 tb
review-3dead90b-b116-4bc8-839b-9ffa6ce1a721,Rooba,4,Pretty good,good one
review-acdf687b-24d0-4438-b2e8-b0ad8cb09c66,Flipkart Customer,5,Super!,good quality hard drive
review-6b9cc762-f738-40ab-89ee-24d04f81cfed,Arvind Bajaj,5,Awesome,good quality product using since 1 year
review-c93342f2-15d8-4e55-81a2-23c7b7eb2da8,Mahesh Agarwal,3,Just okay,ok height value
review-b96a1a81-aeea-462b-83a2-ccc826e33cb5,Flipkart Customer,5,Excellent,superb performance
review-1fd2404f-b069-4497-93c6-2c2233526dd4,Haresh Prajapati,4,Delightful,good
review-17dce054-7572-4eb6-9bfd-a961a496c38a,R K,2,Bad quality,dont buy hard disk drive data crashed
review-92c62e0d-bb3d-45e0-a8df-3a02cb958f0a,Surya Prakash,4,Pretty good,awesome
review-0d688f49-0349-4b98-ae09-ed9b5ec54bc6,VARSHITHA RAM MUVVA,1,Terrible product,working
review-9665e3e2-832d-4647-9c8c-6925044730ed,Yatin Raut,2,Bad quality,dont product bad curupt data
